id,rate
3440111,28
3440112,9
3440113,16
3440114,8
3440121,8
3440122,11
3440123,7
3440124,7
3440131,6
3440132,7
3440133,13
3440211,6
3440212,11
3440221,12
3440222,12
3440223,10
3440224,10
3440231,6
3440232,7
3440233,13
3440241,10
3440242,11
3440243,5
3440244,14
3440311,11
3440312,13
3440321,16
3440322,18
3440331,16
3440332,20
3440333,23
3440341,12
3440342,12
3440343,13
3440411,5
3440412,6
3440413,6
3440414,9
3440415,8
3440421,10
3440422,23
3440423,11
3440431,25
3440432,9
3440433,6
3440511,8
3440512,9
3440521,10
3440522,13
3440523,9
3440524,5
3440525,7
3440526,16
3440531,12
3440532,14
3440533,0
3440534,11
3440535,1
3440611,5
3440612,8
3440613,9
3440621,14
3440622,6
3440623,3
3440624,18
3440625,9
3440626,13
3440627,8
3440628,11
3440711,10
3440712,9
3440721,12
3440722,9
3440723,13
3440731,7
3440732,20
3440733,9
3440811,7
3440812,11
3440821,9
3440822,19
3440823,21
3440831,8
3440832,8
3440911,-99999999
3440912,8
3440913,6
3440921,4
3440922,4
3440931,-99999999
3440932,3
3440933,1
3440934,-99999999
3440941,5
3440942,7
3440943,11
3440951,10
3440952,-99999999
3440953,-99999999
3441011,-99999999
3441012,23
3441013,21
3441014,14
3441021,4
3441022,8
3441023,3
3441024,8
3441031,13
3441032,21
3441033,20
3441041,22
