FID,buurtcode,personenautos_per_huishouden
cbs_buurten_2014.3933,BU03440342,0.6
cbs_buurten_2014.3905,BU03440121,0.3
cbs_buurten_2014.3904,BU03440114,0.5
cbs_buurten_2014.3921,BU03440241,0.5
cbs_buurten_2014.3909,BU03440131,0.4
cbs_buurten_2014.3910,BU03440132,0.9
cbs_buurten_2014.3913,BU03440212,0.5
cbs_buurten_2014.3906,BU03440122,0.5
cbs_buurten_2014.3907,BU03440123,0.4
cbs_buurten_2014.3984,BU03440832,0.5
cbs_buurten_2014.3912,BU03440211,0.4
cbs_buurten_2014.3914,BU03440221,0.6
cbs_buurten_2014.3902,BU03440112,0.9
cbs_buurten_2014.3908,BU03440124,0.5
cbs_buurten_2014.3915,BU03440222,0.5
cbs_buurten_2014.3903,BU03440113,0.5
cbs_buurten_2014.3987,BU03440913,0.9
cbs_buurten_2014.3918,BU03440231,0.4
cbs_buurten_2014.3901,BU03440111,0.6
cbs_buurten_2014.3911,BU03440133,-99999999
cbs_buurten_2014.3919,BU03440232,0.5
cbs_buurten_2014.3916,BU03440223,0.4
cbs_buurten_2014.3923,BU03440243,0.4
cbs_buurten_2014.3917,BU03440224,0.5
cbs_buurten_2014.3927,BU03440321,0.6
cbs_buurten_2014.3920,BU03440233,0.6
cbs_buurten_2014.3922,BU03440242,0.6
cbs_buurten_2014.3926,BU03440312,0.7
cbs_buurten_2014.3928,BU03440322,0.5
cbs_buurten_2014.3924,BU03440244,0.7
cbs_buurten_2014.3925,BU03440311,0.5
cbs_buurten_2014.3929,BU03440331,0.6
cbs_buurten_2014.3930,BU03440332,0.7
cbs_buurten_2014.3931,BU03440333,-99999999
cbs_buurten_2014.3932,BU03440341,0.6
cbs_buurten_2014.3934,BU03440343,1.2
cbs_buurten_2014.3938,BU03440414,0.5
cbs_buurten_2014.3935,BU03440411,0.4
cbs_buurten_2014.3936,BU03440412,0.5
cbs_buurten_2014.3937,BU03440413,0.5
cbs_buurten_2014.3939,BU03440415,0.5
cbs_buurten_2014.3940,BU03440421,0.6
cbs_buurten_2014.3941,BU03440422,0.7
cbs_buurten_2014.3943,BU03440431,0.7
cbs_buurten_2014.3954,BU03440531,0.6
cbs_buurten_2014.3942,BU03440423,0.8
cbs_buurten_2014.3944,BU03440432,0.5
cbs_buurten_2014.3945,BU03440433,0.5
cbs_buurten_2014.3948,BU03440521,0.5
cbs_buurten_2014.3950,BU03440523,0.2
cbs_buurten_2014.3946,BU03440511,0.4
cbs_buurten_2014.3951,BU03440524,0.4
cbs_buurten_2014.3947,BU03440512,0.5
cbs_buurten_2014.3953,BU03440526,1
cbs_buurten_2014.3949,BU03440522,0.6
cbs_buurten_2014.3952,BU03440525,0.7
cbs_buurten_2014.3955,BU03440532,0.7
cbs_buurten_2014.3956,BU03440533,0.1
cbs_buurten_2014.3957,BU03440534,0.6
cbs_buurten_2014.3973,BU03440722,0.7
cbs_buurten_2014.3958,BU03440535,0.1
cbs_buurten_2014.3959,BU03440611,0.3
cbs_buurten_2014.3992,BU03440933,-99999999
cbs_buurten_2014.3965,BU03440624,0.4
cbs_buurten_2014.3960,BU03440612,0.3
cbs_buurten_2014.3961,BU03440613,-99999999
cbs_buurten_2014.3962,BU03440621,0.7
cbs_buurten_2014.3963,BU03440622,0.3
cbs_buurten_2014.3970,BU03440711,0.4
cbs_buurten_2014.3964,BU03440623,0.2
cbs_buurten_2014.3969,BU03440628,0.5
cbs_buurten_2014.3966,BU03440625,0.4
cbs_buurten_2014.3972,BU03440721,0.4
cbs_buurten_2014.3967,BU03440626,0.5
cbs_buurten_2014.3968,BU03440627,0.3
cbs_buurten_2014.3971,BU03440712,0.6
cbs_buurten_2014.3974,BU03440723,0.8
cbs_buurten_2014.3975,BU03440731,0.6
cbs_buurten_2014.3976,BU03440732,0.6
cbs_buurten_2014.3979,BU03440812,0.6
cbs_buurten_2014.3977,BU03440733,0.6
cbs_buurten_2014.3978,BU03440811,0.5
cbs_buurten_2014.3982,BU03440823,0.6
cbs_buurten_2014.3983,BU03440831,0.7
cbs_buurten_2014.3981,BU03440822,0.5
cbs_buurten_2014.3980,BU03440821,-99999999
cbs_buurten_2014.3985,BU03440911,-99999999
cbs_buurten_2014.3986,BU03440912,1
cbs_buurten_2014.3988,BU03440921,1.1
cbs_buurten_2014.3993,BU03440934,-99999999
cbs_buurten_2014.3989,BU03440922,1
cbs_buurten_2014.3990,BU03440931,-99999999
cbs_buurten_2014.3991,BU03440932,0.8
cbs_buurten_2014.3994,BU03440941,1
cbs_buurten_2014.3995,BU03440942,0.9
cbs_buurten_2014.3996,BU03440943,0.9
cbs_buurten_2014.3997,BU03440951,1
cbs_buurten_2014.3998,BU03440952,-99999999
cbs_buurten_2014.4002,BU03441013,1.1
cbs_buurten_2014.3999,BU03440953,-99999999
cbs_buurten_2014.4006,BU03441023,1.1
cbs_buurten_2014.4005,BU03441022,1
cbs_buurten_2014.4000,BU03441011,-99999999
cbs_buurten_2014.4001,BU03441012,1.4
cbs_buurten_2014.4003,BU03441014,1.5
cbs_buurten_2014.4004,BU03441021,1.1
cbs_buurten_2014.4007,BU03441024,1.1
cbs_buurten_2014.4008,BU03441031,1.1
cbs_buurten_2014.4010,BU03441033,-99999999
cbs_buurten_2014.4011,BU03441041,1.4
cbs_buurten_2014.4009,BU03441032,1
